maize_crop_yield,VAR,WMG,SWD,REP,ND2SE,SC8,SC9,SC10,WD3WAS,WD6WAS,WD9WAS,WDW3WAS,WDW6WAS,WDW9WAS,PLTHT3,PLTH6,PLTH9,LA3,LA6,LA9,LAI3,LAI6,LAI9,50%TASSEL,50%SILK,CobL,CobD,Nokelrwcob,NoGrnRow,NoGperCob,CobWgt,1000GWgt,GY
1,2,2,1,3,57,7,20,22,38,43,60,1.41,62.39,142.38,45.8,116.1,186.5,57.7,543.1,609.1,0.0154,0.1448,0.1624,56,59,18.3,4.3,13,37,500,5524.43,295.5,4105.9
1,2,2,2,1,41,50,93,138,36,39,46,1.13,3.77,21.95,49.7,124.4,202.1,74.5,285.2,635.2,0.0199,0.076,0.1694,54,59,18,4.2,13,35,462,4915,273.5,3333.33
1,2,2,2,2,44,10,15,25,37,81,125,10.3,20.3,54.6,51.2,118.9,180,82.1,219.6,500,0.0219,0.0586,0.1231,54,61,18.3,4.4,13,36,488,4615,241.5,3795
1,2,2,2,3,48,17,29,40,43,60,77,2.5,17.3,36.4,56.1,144.7,199.3,88,432.3,582.9,0.0235,0.1153,0.1554,54,61,17.5,4.1,13,36,479,4363.33,240,3151.67
1,2,2,3,1,41,21,63,63,35,37,70,14.8,16.14,25.1,45,123,161.8,40.7,333,505.9,0.0109,0.0861,0.1349,53,57,16,3.8,12,38,456,5166.67,230,3666.67
1,2,2,3,2,40,50,130,141,39,87,98,1.3,13.56,33.2,42,123.7,173.6,50.6,314.6,451.8,0.0135,0.0839,0.1205,53,56,17,4,13,34,446,4933.33,227.5,3600
1,2,2,3,3,42,8,88,141,27,35,56,2.29,10.13,22.85,41.3,128.1,199.8,49.3,288.7,562.9,0.0132,0.0769,0.1501,54,58,18,4.2,14,36,504,4500,220,3333.33
1,2,3,1,1,57,17,19,20,19,23,40,0.51,7.21,13.5,47.6,107.6,167.5,85.4,267.1,613.4,0.0228,0.0712,0.1636,56,61,15.5,4.6,15,31,479,3616.65,202,2651.85
1,2,3,1,2,49,8,41,42,54,55,74,15.06,27.39,42.1,47.8,132.2,203.1,159.7,379.3,609.4,0.0426,0.1012,0.1625,54,59,19.5,4.4,13,34,456,4167.53,264.5,2957.12
1,2,3,1,3,54,8,10,11,35,42,89,10.52,29.17,59.17,40.3,128.8,209.5,57.1,448.1,728.4,0.0152,0.1195,0.1943,57,61,18.7,4.5,14,35,497,6511.05,327,4757.17
1,2,3,2,1,39,85,170,253,31,47,83,0.94,8.33,9,54.4,105,201.3,66.7,215.5,535.8,0.0178,0.0575,0.1429,54,61,15.3,4.2,13,30,373,5200,223.5,3600
1,2,3,2,2,48,70,113,168,37,96,105,1.14,25.5,49.45,48.5,119.8,160.3,76.1,387.1,559.5,0.0203,0.1032,0.1492,54,61,17.8,4.2,13,38,509,4666.67,253,3046.67
1,2,3,2,3,35,60,93,107,34,50,59,0.73,8.65,13.5,53.7,144.3,185,95.4,277.9,610,0.0254,0.0741,0.1355,54,61,15.3,3.9,13,28,359,4833.33,229,3333.33
1,2,3,3,1,39,22,46,62,36,59,61,0.57,1.46,12.5,30.2,73.5,178.7,24.1,238.7,450.7,0.0064,0.0636,0.1202,56,59,15,3.9,10,39,390,3833.33,200,2166.67
1,2,3,3,2,38,28,66,85,38,95,143,0.65,21.66,32.8,36.6,131.1,184.5,46.9,326.6,570.8,0.0125,0.0871,0.1522,54,58,16.3,4,11,41,451,3555,193,2000
1,2,3,3,3,45,50,104,106,30,50,85,1.25,10.54,19.13,52.4,172,244.8,57.7,463.3,707.9,0.0154,0.1236,0.1889,51,56,17,4.2,12,43,516,3333.33,189,2000
1,2,4,1,1,57,2,14,25,52,105,16,0.77,16.4,2.11,50.8,128.1,183.3,87.2,367.9,750.3,0.0233,0.0981,0.2001,56,59,21.5,4.4,15,42,627,4088.23,251.5,4607.85
1,2,4,1,2,49,32,60,77,34,94,17,11.65,20.8,3.6,51.2,125.7,175.9,206.7,418.1,628.4,0.0551,0.1115,0.1676,54,59,17.3,4.2,14,35,485,4843.07,250.1,3593.53
1,2,4,1,3,56,1,6,19,24,114,7,1.82,18.08,9.64,51.6,125.5,190.5,69.4,419.6,593.8,0.0135,0.119,0.1583,55,59,18.8,4.4,14,38,532,5403.5,272.5,3986.5
1,2,4,2,1,41,7,18,38,36,114,8,1.75,14.1,4.07,50.4,115.2,186,67.6,258,441.2,0.018,0.0688,0.1177,54,59,14.5,4.2,15,31,449,2666.67,248,1808.33
1,2,4,2,2,40,15,30,59,40,71,88,2,30.77,47.6,52.8,121.7,197.7,91,271.7,631.2,0.0243,0.0725,0.1683,54,61,18.2,4.6,14,32,453,5333.33,269,3750
1,2,4,2,3,48,25,52,90,36,70,10,1.18,8.65,0.94,51,143.2,215.8,72.7,327.9,580.8,0.0194,0.0874,0.1549,54,61,18.2,4.6,15,37,585,5000,279,3888.33
1,2,4,3,1,45,1,1,2,18,57,8,2,17.03,11.6,44,138.9,190.1,36,348.2,472.5,0.0096,0.093,0.126,54,57,13.8,4,12,30,369,3833.33,210,2666.67
1,2,4,3,2,39,1,2,7,16,69,14,4.97,14.38,4.98,36.8,143.9,200.7,60.7,350,752.2,0.0162,0.0933,0.2006,54,57,14.6,4.2,13,33,435,3500,201.5,2583.33
1,2,4,3,3,43,1,1,2,50,57,15,0.68,4.09,2.36,46.1,125.3,132.7,41.4,284.2,540.4,0.011,0.0758,0.1441,54,58,15.5,4.4,14,34,469,3166.67,198,2333.33
1,3,1,1,1,37,6,7,15,65,69,94,1.18,123.24,145.8,33.7,94.6,133.8,41.4,235.3,569.6,0.011,0.0628,0.1519,58,64,12.7,3.5,15,29,423,984.52,155.5,747.7
1,3,1,1,2,40,1,2,10,97,155,183,55.64,81.71,183.6,37.7,109.1,147.8,103.2,252.2,432.9,0.0275,0.0673,0.1154,58,63,15,3.9,13,31,419,3655.45,218,2616.7
1,3,1,1,3,40,21,31,35,49,70,115,2.87,102.16,150.3,55.3,153.7,170.3,79.7,321.8,541.7,0.0212,0.0858,0.1445,52,59,13.5,3.9,13,27,350,2425.52,187.5,1879.63
